strategy,symbol,asset_class,bars,test_start,test_end,params,train_return_pct,train_trades,oos_return_pct,oos_sharpe,oos_deflated_sharpe,oos_psr,oos_max_dd_pct,oos_profit_factor,oos_trades,oos_cagr_pct,n_trials,decision
trend_following,SPX,index,24738,2001-11-27,2026-06-26,"{""fast_ema"": 30, ""slow_ema"": 50, ""atr_stop_mult"": 3.0, ""trailing_stop"": true}",-15.14,449,18.116,0.22,0.2792,0.8612,9.085,1.224,129,0.468,10,accepted
trend_following,NDX,index,10263,2016-04-14,2026-06-26,"{""fast_ema"": 30, ""slow_ema"": 50, ""atr_stop_mult"": 3.0, ""trailing_stop"": true}",18.947,127,15.986,0.492,0.7656,0.9399,7.646,1.454,59,1.008,10,accepted
trend_following,DJI,index,8682,2017-11-06,2026-06-26,"{""fast_ema"": 20, ""slow_ema"": 50, ""atr_stop_mult"": 2.5, ""trailing_stop"": true}",10.862,129,3.386,0.136,0.2633,0.6546,8.996,1.109,51,0.266,10,rejected
trend_following,FTSE,index,10731,2015-11-11,2026-06-26,"{""fast_ema"": 10, ""slow_ema"": 100, ""atr_stop_mult"": 2.5, ""trailing_stop"": false}",18.24,167,-28.71,-0.894,0.0,0.0014,32.877,0.451,79,-2.174,10,rejected
trend_following,DAX,index,9732,2016-11-23,2026-06-26,"{""fast_ema"": 10, ""slow_ema"": 200, ""atr_stop_mult"": 1.5, ""trailing_stop"": false}",-63.015,406,-36.42,-0.668,0.0026,0.0196,39.485,0.639,168,-3.206,10,rejected
trend_following,NIKKEI,index,15113,2011-01-18,2026-06-26,"{""fast_ema"": 20, ""slow_ema"": 50, ""atr_stop_mult"": 2.5, ""trailing_stop"": true}",69.366,402,-18.348,-0.327,0.0024,0.1007,33.347,0.756,119,-0.902,10,rejected
trend_following,AAPL,equity,11066,2013-11-07,2024-11-04,"{""fast_ema"": 30, ""slow_ema"": 50, ""atr_stop_mult"": 3.0, ""trailing_stop"": true}",17.162,122,25.845,0.593,0.8486,0.9771,8.021,1.492,77,1.453,10,accepted
trend_following,MSFT,equity,9740,2015-03-06,2024-11-04,"{""fast_ema"": 10, ""slow_ema"": 50, ""atr_stop_mult"": 2.0, ""trailing_stop"": false}",23.147,208,23.125,0.471,0.8399,0.9292,11.455,1.345,103,1.496,10,overfit_suspected
trend_following,JPM,equity,11254,2013-09-03,2024-11-04,"{""fast_ema"": 20, ""slow_ema"": 50, ""atr_stop_mult"": 3.0, ""trailing_stop"": false}",5.244,98,-0.539,-0.0,0.3405,0.4997,13.52,0.985,61,-0.033,10,rejected
trend_following,XOM,equity,15819,2009-02-20,2024-11-04,"{""fast_ema"": 10, ""slow_ema"": 100, ""atr_stop_mult"": 2.5, ""trailing_stop"": false}",8.388,171,-17.907,-0.366,0.009,0.0718,23.843,0.719,96,-0.863,10,rejected
trend_following,JNJ,equity,15819,2009-02-20,2024-11-04,"{""fast_ema"": 10, ""slow_ema"": 100, ""atr_stop_mult"": 3.0, ""trailing_stop"": true}",-20.516,118,-5.511,-0.123,0.006,0.3118,16.855,0.877,64,-0.249,10,rejected
trend_following,KO,equity,15819,2009-02-20,2024-11-04,"{""fast_ema"": 30, ""slow_ema"": 50, ""atr_stop_mult"": 3.0, ""trailing_stop"": true}",86.373,179,0.098,0.018,0.0842,0.5278,16.626,1.002,75,0.004,10,rejected
trend_following,PG,equity,15819,2009-02-20,2024-11-04,"{""fast_ema"": 30, ""slow_ema"": 50, ""atr_stop_mult"": 3.0, ""trailing_stop"": true}",13.282,122,-6.751,-0.14,0.1737,0.2888,10.651,0.846,65,-0.307,10,rejected
trend_following,GE,equity,15819,2009-02-20,2024-11-04,"{""fast_ema"": 20, ""slow_ema"": 50, ""atr_stop_mult"": 3.0, ""trailing_stop"": false}",-5.63,151,11.573,0.249,0.4105,0.8387,13.685,1.285,71,0.482,10,accepted
trend_following,IBM,equity,15819,2009-02-20,2024-11-04,"{""fast_ema"": 10, ""slow_ema"": 100, ""atr_stop_mult"": 3.0, ""trailing_stop"": true}",53.404,165,-7.924,-0.153,0.1757,0.2717,18.964,0.849,74,-0.362,10,rejected
trend_following,WMT,equity,13160,2011-10-10,2024-11-04,"{""fast_ema"": 10, ""slow_ema"": 200, ""atr_stop_mult"": 1.5, ""trailing_stop"": false}",2.384,488,-2.889,-0.014,0.2022,0.4804,26.017,0.973,168,-0.155,10,rejected
trend_following,CVX,equity,15819,2009-02-20,2024-11-04,"{""fast_ema"": 30, ""slow_ema"": 50, ""atr_stop_mult"": 3.0, ""trailing_stop"": true}",26.668,120,-16.545,-0.382,0.0053,0.0629,20.687,0.698,78,-0.791,10,rejected
