symbol,class,test_start,test_end,meta_econ_flat_ret,meta_econ_flat_sharpe,meta_econ_flat_tr,meta_econ_flat_psr,meta_econ_trend_ret,meta_econ_trend_sharpe,meta_econ_trend_tr,meta_econ_trend_psr,meta_trainfit_ret,meta_trainfit_sharpe,meta_trainfit_tr,meta_trainfit_psr,trend_single_ret,trend_single_sharpe,trend_single_tr,trend_single_psr,ensemble_ret,ensemble_sharpe,ensemble_tr,ensemble_psr
SPX,index,2001-11-26,2026-06-26,-12.84,-0.086,286,0.3344,-27.78,-0.216,331,0.1406,4.15,0.062,140,0.6202,-24.86,-0.181,342,0.1835,-10.59,-0.06,322,0.3836
NDX,index,2016-04-13,2026-06-26,31.7,0.557,125,0.9604,10.77,0.205,152,0.7423,35.55,0.719,65,0.9882,6.23,0.131,152,0.6611,25.33,0.421,137,0.9082
DJI,index,2017-11-03,2026-06-26,-14.81,-0.351,112,0.1474,-25.39,-0.595,132,0.0368,-4.86,-0.124,46,0.358,-30.64,-0.726,138,0.014,-21.92,-0.503,129,0.0665
FTSE,index,2015-11-10,2026-06-26,-36.37,-0.921,124,0.001,-38.46,-0.908,138,0.0012,-4.88,-0.149,60,0.3139,-40.54,-0.917,152,0.0011,-44.59,-1.074,157,0.0002
DAX,index,2016-11-22,2026-06-26,-22.95,-0.493,121,0.0599,-26.39,-0.552,131,0.0405,-7.31,-0.339,33,0.1469,-23.51,-0.458,138,0.0748,-20.6,-0.397,144,0.1066
NIKKEI,index,2011-01-17,2026-06-26,-40.07,-0.534,225,0.0187,-50.48,-0.699,250,0.0031,-6.39,-0.08,123,0.378,-46.7,-0.633,245,0.0066,-35.99,-0.441,251,0.0433
AAPL,equity,2013-11-06,2024-11-04,-11.33,-0.17,145,0.2862,-1.43,0.012,160,0.5155,-0.72,0.01,85,0.5137,5.44,0.107,160,0.6388,-13.68,-0.201,177,0.2519
MSFT,equity,2015-03-05,2024-11-04,6.26,0.139,130,0.6671,-9.19,-0.135,143,0.3371,-6.82,-0.097,147,0.382,-1.16,0.01,147,0.5125,8.32,0.17,142,0.702
JPM,equity,2013-08-30,2024-11-04,-21.37,-0.417,120,0.0802,-27.08,-0.524,129,0.0389,-10.92,-0.3,60,0.1581,-33.6,-0.699,136,0.0084,-24.41,-0.467,141,0.0582
XOM,equity,2009-02-19,2024-11-04,-31.62,-0.452,178,0.0352,-20.71,-0.239,202,0.1707,-29.69,-0.415,186,0.0485,-28.99,-0.375,207,0.0673,-39.01,-0.585,217,0.0095
JNJ,equity,2009-02-19,2024-11-04,-32.38,-0.553,167,0.0135,-42.19,-0.702,191,0.0022,-38.71,-0.658,188,0.0039,-37.6,-0.6,185,0.0076,-33.96,-0.555,178,0.0133
KO,equity,2009-02-19,2024-11-04,-17.37,-0.206,169,0.2066,-27.09,-0.389,175,0.0598,-32.16,-0.469,182,0.0302,-23.72,-0.314,185,0.1049,-23.07,-0.263,201,0.148
PG,equity,2009-02-19,2024-11-04,-19.52,-0.288,147,0.1262,-24.29,-0.332,169,0.0924,-13.51,-0.337,64,0.0927,-32.04,-0.452,181,0.0343,-23.4,-0.34,169,0.0876
GE,equity,2009-02-19,2024-11-04,-13.55,-0.16,168,0.2631,-15.88,-0.195,181,0.2201,-17.6,-0.593,42,0.0077,-6.22,-0.052,187,0.4177,-5.17,-0.037,182,0.442
IBM,equity,2009-02-19,2024-11-04,-27.9,-0.391,172,0.059,-30.19,-0.403,185,0.0549,-23.23,-0.365,122,0.0752,-36.58,-0.502,201,0.0225,-43.17,-0.661,201,0.0038
WMT,equity,2011-10-07,2024-11-04,12.09,0.197,131,0.7628,-0.49,0.019,151,0.5271,-4.48,-0.063,70,0.4105,-3.46,-0.025,159,0.4647,9.68,0.156,152,0.7139
CVX,equity,2009-02-19,2024-11-04,-26.99,-0.39,169,0.0597,-29.3,-0.392,198,0.059,-0.31,-0.006,26,0.4909,-40.68,-0.579,213,0.0101,-38.52,-0.565,200,0.0118
MCD,equity,2010-04-07,2024-11-04,-27.09,-0.418,164,0.0532,-17.03,-0.217,175,0.2028,-6.64,-0.094,95,0.36,-10.11,-0.109,170,0.338,-27.66,-0.403,183,0.0597
CAT,equity,2009-02-19,2024-11-04,-27.89,-0.367,209,0.0723,-38.75,-0.528,230,0.0173,14.51,0.249,92,0.8396,-33.43,-0.435,232,0.0409,-25.73,-0.321,236,0.1007
DIS,equity,2009-02-19,2024-11-04,-11.26,-0.132,177,0.3005,-6.23,-0.053,199,0.4164,17.46,0.263,89,0.8512,0.14,0.028,207,0.5444,-3.87,-0.025,199,0.4599
INTC,equity,2013-08-30,2024-11-04,-30.65,-0.612,136,0.0186,-37.3,-0.743,150,0.0057,-27.98,-0.578,135,0.0254,-36.62,-0.714,158,0.0076,-33.82,-0.655,150,0.0125
MMM,equity,2009-02-19,2024-11-04,-16.05,-0.192,166,0.2225,-9.73,-0.097,173,0.3507,-12.4,-0.14,172,0.2891,5.24,0.089,170,0.637,-20.22,-0.25,177,0.1599
